partner_id,display_name,entity_type,partner_type,legal_entity,registered_capital,founded_date,legal_representative,business_status,business_info_source,city,coverage_area,platforms,ecommerce_scene,categories,price_range,cooperation_models,typical_fee_range,customer_profile,public_cases,case_verification_status,verification_status,review_count,verified_review_count,risk_level,risk_tag_1,risk_tag_2,risk_tag_3,risk_tags,authenticity_score,fulfillment_score,category_fit_score,conversion_feedback_score,data_transparency_score,risk_control_score,data_completeness_score,overall_score,data_source,visibility,updated_at,notes,Introduction
P_COMPANY_008,华星璀璨,company,MCN机构,成都华星璀璨娱乐有限公司,1000万人民币,2018-05-09,骆文军,,BOSS直聘/智联招聘公开工商栏：成都华星璀璨娱乐有限公司,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW008；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_009,遥望科技,company,MCN机构,杭州遥望网络科技有限公司 / 佛山遥望科技股份有限公司,杭州遥望网络科技有限公司：8894.1289万人民币；佛山/广东遥望科技集团股份有限公司：约9.44亿人民币,杭州遥望网络科技有限公司：2010-11-24；佛山/广东遥望科技集团股份有限公司：2002-07-25,谢如栋,,水滴信用/财库/新浪财经公开工商与上市公司信息,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW009；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_010,南京圆宵文化传媒有限公司,company,MCN机构,南京圆宵文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW010；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_011,三只羊,company,MCN机构,三只羊（合肥）控股集团有限公司 / 合肥三只羊网络科技有限公司,5000万人民币,2022-03-30,张庆杨,,买购APP/公开百科资料：三只羊（合肥）控股集团有限公司,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW011；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_012,轩偶文化,company,MCN机构,天津新偶文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW012；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_013,奶酪星球,company,MCN机构,奶酪星球文化发展（杭州）有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW013；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_014,麦芽传媒,company,MCN机构,重庆麦芽传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW014；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_015,联萌传媒,company,MCN机构,辽宁联萌文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW015；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_016,有好戏,company,MCN机构,广州有好戏网络科技有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW016；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_017,奇迹山,company,MCN机构,厦门奇迹山科技有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW017；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_018,倩兮文化,company,MCN机构,湖北倩兮文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW018；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_019,碎星互娱,company,MCN机构,杭州碎星文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW019；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_020,广州挚文化传媒有限公司,company,MCN机构,广州擎文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW020；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_021,樱桃派对,company,MCN机构,广州樱桃派对文化发展有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW021；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_022,爆爆娱乐,company,MCN机构,河南爆爆文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW022；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_023,永恒文希传媒,company,MCN机构,浙江永恒文希传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW023；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_024,愿景娱乐,company,MCN机构,愿景翰唐（杭州）传媒科技有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW024；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_025,大禹,company,MCN机构,苏州大禹网络科技有限公司 / 苏州大禹数字文化科技集团有限公司,,2014年,旷攀峰,,职友集/公开工商页面：苏州大禹数字文化科技集团有限公司,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW025；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_026,小象大鹅EGM,company,MCN机构,深圳市小象大鹅文化有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW026；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_027,恩毕威,company,MCN机构,待核验,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW027；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_028,蜂群,company,MCN机构,深圳市蜂群文化传播有限公司,2500万人民币,2015-12-03,马力,,买购APP/职友集：深圳市蜂群文化传播有限公司,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW028；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_029,二咖传媒,company,MCN机构,北京二咖传媒文化有限责任公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW029；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_030,广州欢聚传媒,company,MCN机构,广州欢聚传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW030；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_031,ShowWorld,company,MCN机构,看看世界（北京）文化科技有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW031；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_032,蜂群文化,company,MCN机构,深圳市蜂群文化传播有限公司,2500万人民币,2015-12-03,马力,,买购APP/职友集：深圳市蜂群文化传播有限公司,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW032；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_033,超会文化,company,MCN机构,深圳市超会文化有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW033；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_034,星榜互娱,company,MCN机构,北京明亮的星文化传媒有限公司,,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,公开资料待补充；当前仅根据 raw_data.csv 中的公司名称和主体信息建档。,未核验,未核验,0,0,medium,信息待补充,公开来源不足,需人工核验,信息待补充;公开来源不足;需人工核验,45,45,45,40,35,50,35,42,raw_data.csv,public,2026-06-05,来源 raw_id=RAW034；公司主体已建档，仍需人工核验。,该档案来自本地 raw_data.csv 的公司主体线索。后续需补充官网、平台主页、公开案例、达人名单、授权链路和品牌反馈。
P_COMPANY_035,果核宇宙,company,MCN机构,西安果核宇宙文化传媒有限公司,100万人民币,2021年,周凡,,BOSS直聘/高校公开资料：西安果核宇宙文化传媒有限公司,西安,全国,抖音;多平台,短视频内容;达人孵化;直播电商;商务拓展,新消费;娱乐;健康保健,未知,达人孵化;短视频运营;直播电商;品牌IP服务,未知,新消费品牌;内容创作者,用户补充确认：昆图斯为果核宇宙签约创作者。公开资料还显示果核宇宙业务涉及达人孵化、短视频内容、新媒体策划、直播电商和商务拓展。,部分核验,部分核验,0,0,low,签约关系需持续核验,案例未完全核验,信息待补充,签约关系需持续核验;案例未完全核验;信息待补充,45,45,45,40,35,50,70,68,用户确认;公开资料;raw_data.csv,public,2026-06-05,来源 raw_id=RAW035；公司主体已建档，仍需人工核验。 已补充公开工商基础信息；未补充字段表示公开来源不稳或待人工复核。,果核宇宙是独立 MCN/公司主体，与昆图斯以签约创作者关系关联展示。不得把公司主体信息写到昆图斯个人档案里。
